entidad,anio,viviendas_registradas,indice_valor_uma,inpc_nacional,tasa_objetivo,cetes_91d,inflacion_subyacente_anual
GUERRERO,2018,1933,174.7897051,100.2553333,7.841320755,8.175833333,7.694342629
GUERRERO,2019,1595,196.9962382,103.9006667,7.917884615,3.4825,8.104302789
GUERRERO,2020,1055,197.5436019,107.43,5.287692308,2.300833333,5.498134921
GUERRERO,2021,3140,198.3321656,113.5419167,4.640769231,8.849166667,4.40541502
GUERRERO,2022,463,196.2667387,122.5075,8.278269231,8.866666667,7.656547619
GUERRERO,2023,679,189.7231222,129.2796667,11.35519231,1.993333333,11.1487251
GUERRERO,2024,679,195.2746686,135.3845833,10.85283019,6.538333333,10.89749004
GUERRERO,2025,8765,191.4792926,140.5421667,8.154038462,2.839166667,8.410278884
HIDALGO,2016,13227,168.3921146,90.12791667,4.358076923,2.350833333,4.16297619
HIDALGO,2017,8940,165.5010626,95.573,6.883076923,10.29916667,6.711513944
HIDALGO,2018,11108,181.6809057,100.2553333,7.841320755,8.175833333,7.694342629
HIDALGO,2019,8051,193.8929947,103.9006667,7.917884615,3.4825,8.104302789
HIDALGO,2020,5432,188.6031848,107.43,5.287692308,2.300833333,5.498134921
HIDALGO,2021,11686,195.906127,113.5419167,4.640769231,8.849166667,4.40541502
HIDALGO,2022,5287,197.5696993,122.5075,8.278269231,8.866666667,7.656547619
HIDALGO,2023,7130,195.7400421,129.2796667,11.35519231,1.993333333,11.1487251
HIDALGO,2024,9526,194.0356393,135.3845833,10.85283019,6.538333333,10.89749004
HIDALGO,2025,7055,197.9009922,140.5421667,8.154038462,2.839166667,8.410278884
JALISCO,2016,31073,167.2523252,90.12791667,4.358076923,2.350833333,4.16297619
JALISCO,2017,26286,174.0262307,95.573,6.883076923,10.29916667,6.711513944
JALISCO,2018,20070,177.8010463,100.2553333,7.841320755,8.175833333,7.694342629
JALISCO,2019,17231,179.1355406,103.9006667,7.917884615,3.4825,8.104302789
JALISCO,2020,13602,180.6659682,107.43,5.287692308,2.300833333,5.498134921
JALISCO,2021,17619,185.2502696,113.5419167,4.640769231,8.849166667,4.40541502
JALISCO,2022,14763,190.3569396,122.5075,8.278269231,8.866666667,7.656547619
JALISCO,2023,12160,179.0583882,129.2796667,11.35519231,1.993333333,11.1487251
JALISCO,2024,17001,174.794718,135.3845833,10.85283019,6.538333333,10.89749004
JALISCO,2025,18246,166.5696043,140.5421667,8.154038462,2.839166667,8.410278884
MEXICO,2016,24155,192.5427241,90.12791667,4.358076923,2.350833333,4.16297619
MEXICO,2017,18245,190.5371609,95.573,6.883076923,10.29916667,6.711513944
MEXICO,2018,14687,189.5578062,100.2553333,7.841320755,8.175833333,7.694342629
